pqif,seed,nloop,cc_lif,cc_qif,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
1,0,0,0.008347245878006311,-0.002767171743438303,0.0027900370672840065,0.24812085596805275,-0.0008194473032330695,-3.14041942133311e-05,-0.002004008016032064,3.2843579287898304e-06
1,0,1,0.7131910182675489,0.733833547017246,0.7235122826423973,1.4907762674930032,0.3236363606895148,-0.001476998528668915,-0.0017983411570242386,-0.0013635780896573222
1,0,2,0.7198007578504286,0.7377975457052492,0.7287991517778402,1.3122527550033178,0.3803531979277429,-0.0014735827740423892,-0.0019478305817814264,-0.0015765130110776784
1,0,3,0.7166523421174825,0.7343352062445152,0.725493774180999,1.1457719861492115,0.43601479421668965,-0.0014953883809381264,-0.0019762663072849154,-0.0017687726084896567
1,0,4,0.7204799683684648,0.7396604007602596,0.7300701845643627,1.0407557009479247,0.48062439795503,-0.0014868207671409116,-0.0019874519270321246,-0.0018791760265891842
1,0,5,0.7196071451352096,0.7369609084424791,0.7282840267888444,0.9739941059567324,0.5180008496658841,-0.0014965172416237067,-0.0019780328264691663,-0.0020772278861287616
1,0,6,0.7166864392931545,0.7360088044239018,0.726347621858528,0.9228901700214985,0.5473694215916338,-0.0014994521709904565,-0.001984597538619241,-0.002207825609085674
1,0,7,0.7153821250792857,0.7363954440307074,0.7258887845549962,0.8849431559356152,0.5718271210173825,-0.0015104084377378431,-0.0019469350362746674,-0.002326644332909596
1,0,8,0.7138016590983685,0.7347188515654038,0.7242602553318865,0.8560183552727992,0.5919933982463971,-0.001516415094564335,-0.0019459642361138953,-0.002341116241402985
1,0,9,0.7209766545302556,0.7406451999595172,0.7308109272448867,0.8367222912552731,0.609553540660423,-0.001527298918833529,-0.001968091645966116,-0.002483749171956013
1,0,10,0.7184933887359636,0.7380760593887121,0.7282847240623378,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,0,11,0.7285918528453349,0.7461650344227128,0.737378443634024,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,0,12,0.7389205531072032,0.7542651218258595,0.7465928374665312,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,0,13,0.7228472694564025,0.7402474134281049,0.7315473414422534,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,0,14,0.7163540807588383,0.7387611999652475,0.7275576403620427,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,0,15,0.7280999079303524,0.744204338200403,0.7361521230653776,0.8207912477435184,0.6238017728948428,-0.0015304871254431555,-0.0019612768671694774,-0.002554536643575114
1,1,0,-0.0058938287186224665,-0.00012232864168791946,-0.003008078680155193,0.2482100577091443,-0.0010953775409093419,0.0002331292373955354,-0.0020040080160320644,4.39029074512776e-06
1,1,1,0.712248732514279,0.7309194639288489,0.7215840982215646,1.4574494087356553,0.3401852262452068,-0.0014698368661329724,-0.0014115326234836404,-0.0012051519397252442
1,1,2,0.722587624443071,0.7388842067104529,0.7307359155767622,1.3352154401419416,0.3739869606118592,-0.0014818079542726862,-0.0018065671282584453,-0.0012483884273006998
1,1,3,0.7192096327584978,0.7373560466320269,0.7282828396952616,1.1484997450047145,0.4381587381041294,-0.0014838377663959636,-0.0018432451341186696,-0.0017281774001626372
1,1,4,0.7146818996082219,0.7331254395907622,0.7239036695994923,1.0472735102138722,0.4826328828179694,-0.0014973346407003603,-0.0018075988957609822,-0.0018823812937843805
1,1,5,0.7157149183857178,0.7341840033215913,0.7249494608536547,0.98648728831847,0.5145315619677079,-0.0014957100495073617,-0.0018405398544321246,-0.002003967522188226
1,1,6,0.7163851263729113,0.7330276166700399,0.7247063715214753,0.929859104239548,0.5446338119888245,-0.0015132055310559383,-0.0018991907019988567,-0.002175407241285751
1,1,7,0.7174089273223685,0.7364318257277425,0.7269203765250546,0.8934044349641512,0.5709987779952167,-0.0015165615990294732,-0.0018989044662384524,-0.0022456627939963685
1,1,8,0.7136932193108223,0.7358568342525957,0.724775026781709,0.8629234306483216,0.5922247850463539,-0.0015149931516296247,-0.0019260873959427737,-0.002273221085055236
1,1,9,0.7147669874149193,0.7334998776494627,0.7241334325321911,0.843145846433768,0.6072598960011072,-0.0015225110498644518,-0.0019231278909252064,-0.0024142553091086507
1,1,10,0.7143428310572415,0.7361134511843492,0.7252281411207951,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,1,11,0.7313898046178196,0.7493779288478607,0.7403838667328395,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,1,12,0.720327409079304,0.7390029224931356,0.72966516578622,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,1,13,0.7304425094959385,0.748687203339221,0.7395648564175795,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,1,14,0.6912841746148071,0.7096184937253792,0.7004513341700939,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,1,15,0.7381809340143483,0.7546609555217813,0.7464209447680648,0.8310713110416172,0.6174806011744125,-0.001523642070359101,-0.0019473879838584254,-0.0024770777535090198
1,2,0,-0.00031692124164103114,-0.00393199902505402,-0.002124460133347528,0.2494522868505319,0.00038662644331634223,6.013928465704987e-05,-0.0020040080160320644,-1.5496049832317039e-06
1,2,1,0.7113558667240664,0.7269236068385807,0.719139736781323,1.4955565697034068,0.33347504778974246,-0.0014721308914111514,-0.0012201628603886116,-0.0007821176842467649
1,2,2,0.7186209459121291,0.7367370890396753,0.7276790174759022,1.4446358607925167,0.3411075429893201,-0.001503734797582125,-0.0018018354371197038,-0.0011773890240836893
1,2,3,0.7160855955141048,0.738701916112519,0.7273937558133123,1.2125655499339851,0.4133792886223305,-0.0014951781062970157,-0.0018895094152921379,-0.0015974490938435548
1,2,4,0.7171824270252164,0.7364030943449604,0.7267927606850891,1.0996796400393813,0.4578418042830411,-0.0015001299217711336,-0.0018887574917111612,-0.0017399527565741563
1,2,5,0.7167745708225667,0.7315348917119139,0.7241547312672405,1.010158661794325,0.5003938847049595,-0.0015048770449473247,-0.0019205115306242828,-0.0019552046862975824
