pqif,seed,iloop,it,II_0,v_0,II_1,v_1,II_N2+1,v_N2+1,II_N2+2,v_N2+2
1,0,11,0,-2.258449416070769,-0.6039286664318806,2.356121865785514,-0.0938223116859538,3.2885679923836655,0.41749078749660595,-2.002258175656297,0.08042458962250004
1,0,11,20,-2.258449416070769,0.28272028192960735,2.356121865785514,0.15364599146734578,3.2885679923836655,1.2481634554481418,-2.002258175656297,1.2256651941416563
1,0,11,40,-2.258449416070769,-0.059791939819146975,2.356121865785514,0.29243075460330836,3.2885679923836655,-0.050780095833698774,-2.002258175656297,0.435354770214307
1,0,11,60,-2.258449416070769,0.12032943141036147,2.356121865785514,0.1569512547395408,3.2885679923836655,0.2746345378646353,-2.002258175656297,0.6727586387166061
1,0,11,80,-2.258449416070769,0.36227923084398783,2.356121865785514,0.35247488373540153,3.2885679923836655,0.07091349967152533,-2.002258175656297,0.22263858528797065
1,0,11,100,-2.258449416070769,0.29514156916849255,2.356121865785514,0.2629226500536461,3.2885679923836655,0.2457991180165766,-2.002258175656297,0.8019649270264949
1,0,11,120,-2.258449416070769,0.6596858837853875,2.356121865785514,0.39337788905560456,3.2885679923836655,0.15686262325577638,-2.002258175656297,1.119618188930024
1,0,11,140,-2.258449416070769,0.41520451321631774,2.356121865785514,0.425420026570259,3.2885679923836655,0.16568537794135918,-2.002258175656297,1.4157301873422559
1,0,11,160,-2.258449416070769,0.4571034293498228,2.356121865785514,0.17330512792900665,3.2885679923836655,-0.8712543266273469,-2.002258175656297,0.4850996023848527
1,0,11,180,-2.258449416070769,0.4206376326560137,2.356121865785514,0.12280745226466085,3.2885679923836655,0.5926445088550139,-2.002258175656297,-0.04699109285713765
1,0,11,200,0.0,0.35068810208589035,0.0,0.37631696388096414,0.0,-0.30276061314940206,0.0,0.7571896290879911
1,0,11,220,0.0,0.14573460990232123,0.0,0.07616604193996558,0.0,-0.1713387330371134,0.0,-0.06156749065833644
1,0,11,240,0.0,0.46575658817510596,0.0,0.3473982231068148,0.0,-1.0564738172143366,0.0,0.38970591335390864
1,0,11,260,0.0,0.25475251242656394,0.0,-0.0298037778105967,0.0,-1.9155672623336597,0.0,-0.85590597893432
1,0,11,280,0.0,0.08391769248784808,0.0,-0.04170646248954487,0.0,-2.019372039065165,0.0,-1.4414696001581375
1,0,11,300,0.0,0.04896484121381783,0.0,-0.16297614920361086,0.0,-2.2093242054187145,0.0,-1.4282322270699674
1,0,11,320,0.0,-0.2609876387965102,0.0,-0.36654735551096634,0.0,-1.5576099039791917,0.0,-1.197714928800015
1,0,11,340,0.0,-0.3865214844202803,0.0,-0.4297481296969359,0.0,-2.0528322246323,0.0,-1.9217593978945173
1,0,11,360,0.0,-0.6386398302754472,0.0,-0.4960357812088763,0.0,-1.900996210279529,0.0,-1.785841811030604
