pqif,seed,nloop,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
0,0,0,0.0011651109499401333,0.23934332703593,0.00199051227835485,0.0005039669446598469,-0.005025125628140704,-2.000514852617917e-05
0,0,1,0.828723821462935,0.022285929615063354,0.07220921061660915,-0.00032980524965269285,-0.004826024201206635,-0.0005561388101433322
0,0,2,0.836330616340823,0.019093582711349377,0.10996195816545612,0.0003267454965700225,-0.004850768576739851,-0.0008613898580692872
0,0,3,0.8374198472467296,0.01776541871175406,0.1104423530023928,0.00037974406012530274,-0.004851621458471755,-0.0007013821835588562
0,0,4,0.8333640213847039,0.01690703624320751,0.11114538645408079,0.00043712860003432123,-0.004852509579915022,-0.0008888901243386459
0,0,5,0.8293361879198828,0.016282528019572196,0.11757710912358482,0.0001035150057056101,-0.004854387014753871,-0.0009607766195217671
0,0,6,0.8340891460704694,0.01588755191016609,0.11913061417667001,-1.4206759832180947e-05,-0.0048348206679198055,-0.0009282679802151409
0,0,7,0.8414845200829559,0.015886311921618976,0.12003294819356435,-0.0003918291309349044,-0.004823082891731798,-0.0011635219756211122
0,0,8,0.8342195377941085,0.015461416667241323,0.12451744193597601,-0.00022388029733810255,-0.004814834677343768,-0.0012552044075183808
0,0,9,0.8413912631779543,0.015097362721161151,0.12449134804729538,-0.00016414730233007928,-0.0048190043397753225,-0.0012461568334679411
0,0,10,0.8278575501539293,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,0,11,0.784983407018279,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,0,12,0.8674740678022375,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,0,13,0.8230014653669252,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,0,14,0.8312339420754878,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,0,15,0.7026584268798477,0.015183537030356296,0.12526177248640055,-0.0001778856633145577,-0.004787023717214305,-0.001280799034971258
0,1,0,-0.003423633152408524,0.24659394625371966,-0.0017210898938692745,4.3451247745736206e-05,-0.005025125628140704,1.729738586803286e-05
0,1,1,0.8346729466473942,0.020812088428903693,0.06821845288149433,0.0010690733099386876,-0.004733768630687714,-0.0008125158653978773
0,1,2,0.8412027387090829,0.018480685803714328,0.08807029587688943,0.0011833406711522247,-0.0048567068195399824,-0.0004991828831613758
0,1,3,0.8356740729810792,0.017513804800976557,0.08368759911955387,0.0007868101332270343,-0.0048788305850566965,-0.00047585622502223325
0,1,4,0.831982641995473,0.01635492089117179,0.09093046177746346,0.0003434889737397381,-0.004873932528951967,-0.0007507716538733951
0,1,5,0.8374821625866089,0.015509286099851997,0.09477778809265991,0.0004951130261948895,-0.004871678986019689,-0.0007262423166987034
0,1,6,0.8293334864300677,0.015701380774737463,0.09662899445124798,0.0004970073018891015,-0.004855769086126742,-0.0007863219708876776
0,1,7,0.8210781256807408,0.015506897173735434,0.1006662028527349,0.0006966784521720178,-0.0048778593565344955,-0.0009085617685819454
0,1,8,0.8345061350981605,0.015169208676030738,0.10367510658502399,0.0007202457594887905,-0.00488722768050028,-0.0008218031119518615
0,1,9,0.8334434004124059,0.014678194037365661,0.10670351781747142,0.0006928800836264144,-0.004887065954232202,-0.0009246127214604321
0,1,10,0.8374672651247042,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,1,11,0.7289754200359653,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,1,12,0.872043305488506,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,1,13,0.831506241623251,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,1,14,0.7862213373385947,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,1,15,0.8812492304753003,0.014342370446072202,0.1114995777192466,0.0007312153051985015,-0.004883920954924184,-0.0009639914384239416
0,2,0,-0.0018299434323054914,0.23759218871512322,0.003031359363325183,-0.00023378526422619656,-0.0050251256281407045,-3.046592324949926e-05
0,2,1,0.8288199556658804,0.020588572999933413,0.10754392497271315,0.00012435691160596533,-0.004760101920228537,-0.0011117132604792042
0,2,2,0.8302529546650824,0.017406447124613436,0.1243101609488446,-0.00030040253288844584,-0.004817253267061266,-0.0011886099817337177
0,2,3,0.835849037635581,0.016579605135907595,0.12705723021065282,-0.0006482996958559034,-0.0048381191089924185,-0.0010937811420490475
0,2,4,0.8292914865857728,0.016186125866845768,0.12541167183875046,-0.0005121706827286215,-0.00485662660287948,-0.0010527706703347141
0,2,5,0.8372120899755822,0.01596853335817456,0.1260700525245108,-0.0004216382979423254,-0.004860026557713291,-0.000951356333300469
0,2,6,0.8267443629349366,0.015334005413465407,0.130658978040133,-0.000399391149343715,-0.0048700166808836425,-0.0010613211696114608
0,2,7,0.8396023263380511,0.015083874927956266,0.13363443212918835,-0.00021550103462670528,-0.004867013012051619,-0.0011468077330321145
0,2,8,0.8267310532015489,0.015265726358786393,0.1329658389401741,-0.0001839215435670615,-0.004865126011146772,-0.0011954024900716293
0,2,9,0.83912086493158,0.015004729661668693,0.13597218744552178,-0.0002211258261801478,-0.004867204221192562,-0.0011391968938174793
0,2,10,0.8185192031835468,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,2,11,0.8668874032650378,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,2,12,0.8500029113883631,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,2,13,0.8611694002479193,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,2,14,0.815024819081253,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,2,15,0.8543589734874935,0.014603372638331263,0.13911099637342647,-0.00030413616142589575,-0.004843304037577457,-0.0011747569564306327
0,3,0,0.027846482160871076,0.24428133532373372,0.0012895845402559117,0.0006455549853658632,-0.005025125628140704,-1.2960648645788199e-05
0,3,1,0.826826838512304,0.020813196839218492,0.0803313484193332,0.00032429135734695323,-0.004711569344253866,-0.0007028432514402975
0,3,2,0.8336725243544996,0.017992943043797477,0.09517595256597536,-0.00038673551817871167,-0.004809705202671597,-0.0007291715354790409
0,3,3,0.8355079273638519,0.0171186597143891,0.09596974833655444,-0.000358488086584777,-0.004785326899725535,-0.00037663047675556035
0,3,4,0.8375251706647425,0.015916190811932567,0.10416152809939014,-4.996088385988492e-05,-0.00477870088005725,-0.0004010155027473335
0,3,5,0.8335181471664304,0.015522356392857728,0.1072941229926899,-0.0003075619068916014,-0.004789461859392668,-0.0006069977431651371
0,3,6,0.8316523091346284,0.01498392789361745,0.1140198635359491,-0.000364604674841602,-0.004815377807295326,-0.0007540735870283611
0,3,7,0.841624471555276,0.014772265417811525,0.11620546382548683,-0.0001792209874400423,-0.004823435910904197,-0.0007825920931825935
0,3,8,0.8333744219658751,0.01459838777186771,0.11584983860756805,-8.161596927150248e-05,-0.004835995499427389,-0.0009143293907936062
0,3,9,0.8300549998275868,0.014336860633246353,0.11898243773068877,-0.00013934977154405527,-0.004845089157029806,-0.0009988781101762613
0,3,10,0.8366414078669469,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,3,11,0.7073793527551586,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,3,12,0.7298844689000958,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,3,13,0.7614687002819825,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,3,14,0.7671357459391559,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,3,15,0.8268101598760258,0.014519662713756518,0.11963254556762036,-0.00028199311185706205,-0.00484363017524732,-0.000968694749299371
0,4,0,0.013062883815624048,0.249087424681129,0.008453407644552916,-0.0009935103334245928,-0.005025125628140704,-8.495887079952695e-05
0,4,1,0.8316318277893283,0.02017087929819591,0.08985196419852648,-0.00037824043601443095,-0.004826628831285421,-0.0010218173674092744
0,4,2,0.8344675332129683,0.019483067916217997,0.10105643055474738,-0.00024966402578563423,-0.004880381701839804,-0.00106965980701547
0,4,3,0.8314812294169678,0.018534525529485722,0.10239829567255031,-0.0006922220554042782,-0.004881513945971459,-0.0009566206411624901
0,4,4,0.8236100878217976,0.01782811138552076,0.10167485984896917,-0.0007424669148677325,-0.004896303658489818,-0.0009588639463469071
0,4,5,0.8371774391609784,0.01658537406301338,0.10987723530189403,-0.0007237322302832841,-0.0049037287243903094,-0.0010137028264981594
0,4,6,0.8331340776350586,0.01589482923651487,0.11381478970010679,-0.0007459639104140047,-0.0048901775828653305,-0.001084438839042806
0,4,7,0.8257335424454204,0.015532754674673244,0.11935459507700134,-0.0007058737567936848,-0.004882897815901061,-0.0011495574830166328
0,4,8,0.8424658144564446,0.01565563584643307,0.12381821438351774,-0.0006660927897600719,-0.004875172506483252,-0.0011758898383947404
0,4,9,0.8195746398031548,0.015444888506081387,0.12372176725710865,-0.0005947113984189533,-0.004866813970583441,-0.0011975023676653895
0,4,10,0.8205328092297873,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0,4,11,0.8657788280946764,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0,4,12,0.8651170011139078,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0,4,13,0.8457643272260527,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0,4,14,0.8694583984789658,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0,4,15,0.8580526803288131,0.015351899523341905,0.1252315682837813,-0.0005259921095569138,-0.004875980570831031,-0.0013258508909981747
0.5,0,0,0.009141083654968081,0.23934332703593,0.00199051227835485,0.0005039669446598469,-0.005025125628140704,-2.000514852617917e-05
0.5,0,1,0.7602112049509663,0.20758736929638189,0.04349891193750005,0.00016263963679920206,0.0026195741066369896,-0.0004457852807789231
0.5,0,2,0.7638562011233881,0.20934126521800336,0.05076218760530908,5.2372195115153254e-05,0.0031237387343836793,0.0006668310129396551
0.5,0,3,0.7629233430703306,0.19849402242867256,0.05769086138892063,-0.00028680360308577,0.0031634527137686355,0.00013468033833864844
0.5,0,4,0.7571957419976779,0.18450490212123263,0.06475250059865684,-0.00032074741264012825,0.003783992001612293,-8.314660712275919e-07
0.5,0,5,0.7668348007359629,0.1841439164973428,0.07096019372731033,-0.00025716885407136653,0.004609399426248363,0.0006490741944595198
0.5,0,6,0.7519454465813681,0.18163130071660447,0.07023557592701311,-9.070708845808336e-05,0.004858545941210048,0.0006077083828755654
0.5,0,7,0.7702830724899686,0.17883196383332362,0.07063588721632824,-0.00010903996836944745,0.00455704427473487,0.0005354595207147131
0.5,0,8,0.7857270217351932,0.17792806236887068,0.07463420201553271,-0.00012481699032701067,0.004629575568623099,0.0007562455560693539
0.5,0,9,0.7364729895200361,0.17653554474845504,0.07520243643693969,-0.0002706533845105182,0.0045757969815774105,0.000664156296983349
0.5,0,10,0.7369857435616332,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,0,11,0.8010331704125023,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,0,12,0.7576907051611503,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,0,13,0.7950607782637484,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,0,14,0.8015854220591048,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,0,15,0.792698563460948,0.17673298191924836,0.07689809210123513,-0.00014352609171129207,0.004715541665187669,0.0010331338871365397
0.5,1,0,-0.008221482011926438,0.24659394625371966,-0.0017210898938692745,4.3451247745736206e-05,-0.005025125628140704,1.729738586803286e-05
0.5,1,1,0.7572302999171492,0.18203354458600407,0.03953053267974262,-0.00045184504134046716,0.004836750243718225,0.0005290542111571217
0.5,1,2,0.7607741803714037,0.1682410422334943,0.04169254554926291,-0.0005258025014986158,0.005882813690879487,0.0020935528972271106
0.5,1,3,0.756630159921804,0.1636197591657388,0.0462842677650368,-9.214587801112837e-06,0.006181736181155686,0.001362955300221239
0.5,1,4,0.7628964311533576,0.1601532248888884,0.05018007523524391,-0.0003883861096090861,0.005952486054978071,0.0016042443588566047
0.5,1,5,0.7632672104247478,0.15523041777248944,0.05308693630575831,-0.00020587532602713398,0.006933082205041169,0.0015759772139589821
0.5,1,6,0.7666051077808446,0.15359030941231164,0.05915286902231833,-0.0001154744675107238,0.006719845376275927,0.0013705149527315735
0.5,1,7,0.7581376529157505,0.14917498188949888,0.059016213812396766,-0.0001766745649829997,0.007025502542680024,0.001721901285872245
0.5,1,8,0.7542919955540086,0.1474544338806996,0.05886182017776016,-0.00031413654661577615,0.0065185019385694265,0.0019087926293658692
0.5,1,9,0.7449727429488731,0.14581641922480235,0.05695194827872405,-0.00024823958510555806,0.006751339378488419,0.0023469648519960718
0.5,1,10,0.7794212839420134,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,1,11,0.7219079817079964,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,1,12,0.7521775015181837,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,1,13,0.6529545265913446,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,1,14,0.7792026729595269,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,1,15,0.5942699913744012,0.15062227684639812,0.06229286463575689,-0.0002269654420249379,0.006921252504759366,0.0021391252315569515
0.5,2,0,-0.013856280900284578,0.23759218871512322,0.003031359363325183,-0.00023378526422619656,-0.0050251256281407045,-3.046592324949926e-05
0.5,2,1,0.7575108951752925,0.1783230327500567,0.03641448102591381,-5.96331499448351e-05,0.0054749261718726756,0.00034787136353762164
0.5,2,2,0.7566131865845829,0.18001187474978195,0.05593348899506786,-7.180156031213676e-05,0.0072926744189296495,-5.142673561057573e-05
0.5,2,3,0.7647630119459536,0.16912943318221024,0.06651264476460426,-0.0004340048847102517,0.008028093596161889,-0.00017212818460064514
0.5,2,4,0.7586598015265289,0.16399531714847412,0.07437703019401695,-0.0005833619096202393,0.008931929288977089,-0.00011542015424347356
0.5,2,5,0.7682512552820517,0.1581384800395831,0.07394738118183439,-0.0006483316644963791,0.009204674407216978,0.00021327040670939974
0.5,2,6,0.7346367253545135,0.1647259185442992,0.0706092966413306,-0.0006079716641924393,0.010805970076428783,0.00015302347381218484
0.5,2,7,0.7645866309517847,0.1618096678400031,0.07244212450511468,-0.0004257090191847603,0.010421202083771716,4.4843938770827666e-05
0.5,2,8,0.769674870380348,0.15589039827037854,0.07782907281588354,-0.0005739773667632912,0.009407968350026333,-5.0833623512916726e-05
0.5,2,9,0.753227301181357,0.1565784972326416,0.07733966919578929,-0.0006419212623378519,0.009635274311920487,0.0002470423064489178
0.5,2,10,0.7613697590821744,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,2,11,0.6960922367911191,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,2,12,0.6318324200593765,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,2,13,0.7801536631479807,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,2,14,0.6727425128242658,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,2,15,0.7104443041674786,0.1553800949112768,0.0780082771348585,-0.00045696272298670755,0.010529316244416198,0.0001716007841295144
0.5,3,0,-0.0032679271333258745,0.24428133532373372,0.0012895845402559117,0.0006455549853658632,-0.005025125628140704,-1.2960648645788199e-05
0.5,3,1,0.7568917400272105,0.17387268603471207,0.029961259835674135,0.00021654762250946855,0.003272332182760986,0.0007896847104401368
0.5,3,2,0.7575632445161111,0.17482093160268275,0.04332936341888838,0.0004154436601805192,0.00568062005852088,0.001065982918602888
0.5,3,3,0.7681106756801759,0.1640760338851122,0.05071260127322403,0.0007620008776869664,0.006949200326324077,0.00194836562848223
0.5,3,4,0.7522332959048232,0.16250368093472203,0.05539986286933144,0.0007733994713485092,0.007279413359068876,0.0020530853044835027
