pqif,seed,iloop,it,II_0,v_0,II_1,v_1,II_N2+1,v_N2+1,II_N2+2,v_N2+2
1,0,11,0,-2.258449416070769,-0.694936820283466,2.356121865785514,-0.5427638346368963,3.2885679923836655,0.06737598412268626,-2.002258175656297,-0.7783076911427922
1,0,11,20,-2.258449416070769,-0.39384984425309016,2.356121865785514,-0.3454432638526616,3.2885679923836655,0.7545804249592183,-2.002258175656297,-0.11572617967623436
1,0,11,40,-2.258449416070769,-0.1732298859745622,2.356121865785514,-0.056359526782349754,3.2885679923836655,1.1624981101359284,-2.002258175656297,0.6890754968830839
1,0,11,60,-2.258449416070769,0.08875279493215299,2.356121865785514,0.19797977019148294,3.2885679923836655,1.3362946730499208,-2.002258175656297,1.0925541521326028
1,0,11,80,-2.258449416070769,0.30192664157109095,2.356121865785514,0.3530279317326994,3.2885679923836655,1.2013331579060056,-2.002258175656297,1.3860858717256788
1,0,11,100,-2.258449416070769,0.4082669646889435,2.356121865785514,0.4820631167520603,3.2885679923836655,1.1496429347837211,-2.002258175656297,1.3153569940342122
1,0,11,120,-2.258449416070769,0.5082108397574734,2.356121865785514,0.5280685618510055,3.2885679923836655,0.9642738170674623,-2.002258175656297,1.0753209033350701
1,0,11,140,-2.258449416070769,0.5845683905850931,2.356121865785514,0.5589829224813092,3.2885679923836655,0.5626689754107009,-2.002258175656297,1.1843327095476148
1,0,11,160,-2.258449416070769,0.6751524618723798,2.356121865785514,0.6208595037779976,3.2885679923836655,0.5788218258783249,-2.002258175656297,1.149738238470507
1,0,11,180,-2.258449416070769,0.6279371072276607,2.356121865785514,0.5945702980666898,3.2885679923836655,0.1526761096612953,-2.002258175656297,1.0100573840624272
1,0,11,200,0.0,0.6775141634020326,0.0,0.5524997106321985,0.0,-0.08993973815461681,0.0,0.8636790345465774
1,0,11,220,0.0,0.6376646991037901,0.0,0.47936019658089973,0.0,-0.4614607733566499,0.0,0.3375653877228799
1,0,11,240,0.0,0.5304678267365248,0.0,0.42982979861199866,0.0,-0.9034670890156224,0.0,0.05017041298416014
1,0,11,260,0.0,0.41021310996881727,0.0,0.19558563414982183,0.0,-1.7180181978904776,0.0,-0.7460907916203238
1,0,11,280,0.0,0.20560822552875735,0.0,-0.05479363094436515,0.0,-2.1988096739186345,0.0,-1.3793406697518384
1,0,11,300,0.0,-0.026579956524979798,0.0,-0.29465868593494754,0.0,-2.5101113606371177,0.0,-1.9153917066489776
1,0,11,320,0.0,-0.2121625214162624,0.0,-0.45837352769938067,0.0,-2.5094190193955344,0.0,-1.771281794143248
1,0,11,340,0.0,-0.4520770053502932,0.0,-0.6474079088046032,0.0,-2.303302368312626,0.0,-2.194743791408974
1,0,11,360,0.0,-0.6016797289292986,0.0,-0.6899010986384639,0.0,-1.9040779160947041,0.0,-2.194476786766324
1,0,11,380,0.0,-0.6662955235331188,0.0,-0.7134688404179887,0.0,-1.1174042765061811,0.0,-1.5572666526076202
1,0,11,400,0.0,-0.6935692650226257,0.0,-0.6196284141534685,0.0,-0.42940710106933444,0.0,-1.2629894681863092
1,0,11,420,0.0,-0.6592247811747577,0.0,-0.4836869868918936,0.0,0.3078626603228845,0.0,-0.7397435759390822
1,0,11,440,0.0,-0.5834688343845185,0.0,-0.2893506724014569,0.0,1.3634600841078561,0.0,0.1244287046039117
1,0,11,460,0.0,-0.38755321576390744,0.0,-0.18640165539333525,0.0,1.883737003809827,0.0,0.9515929454683821
1,0,11,480,0.0,-0.15606424247787573,0.0,0.11505449907296322,0.0,2.2734379245494987,0.0,1.610429725542874
1,0,11,500,0.0,0.06642758113395876,0.0,0.3074011505196616,0.0,2.5317487160968817,0.0,1.9897777690558307
1,0,11,520,0.0,0.2922232060699967,0.0,0.4583643251119673,0.0,2.756251225107229,0.0,2.4197535004232322
1,0,11,540,0.0,0.4632615556713174,0.0,0.6193299963240646,0.0,2.2723263917592242,0.0,2.420647285146358
1,0,11,560,0.0,0.5588372505448587,0.0,0.6834791202884704,0.0,1.9744467583440386,0.0,1.8865769044860334
1,0,11,580,0.0,0.6337481602721952,0.0,0.6303177860734657,0.0,1.3438685347139767,0.0,1.4825541880829474
1,0,11,600,0.0,0.696913267795187,0.0,0.62237177496664,0.0,0.5489078363349493,0.0,1.2190728518361142
1,0,11,620,0.0,0.6604227465211226,0.0,0.5407353693193558,0.0,-0.34960600707168776,0.0,0.541471408934067
1,0,11,640,0.0,0.569634924722831,0.0,0.36278060816384694,0.0,-0.9596662907726397,0.0,0.03672285634783967
1,0,11,660,0.0,0.41488831984402447,0.0,0.1500200075413628,0.0,-1.757495520089858,0.0,-0.9615868325052278
1,0,11,680,0.0,0.21639150931013265,0.0,-0.10527513598727714,0.0,-2.1963567565988695,0.0,-1.6421139084767602
1,0,11,700,0.0,0.016441767778642577,0.0,-0.2157779738175069,0.0,-2.708171590455759,0.0,-1.754598382370828
1,0,11,720,0.0,-0.21600984881520197,0.0,-0.4436124823470644,0.0,-2.3543118447602125,0.0,-1.7580711384319865
1,0,11,740,0.0,-0.4421011495815922,0.0,-0.5562638407241965,0.0,-2.606759173965664,0.0,-2.2164959020185644
1,0,11,760,0.0,-0.5423978319809516,0.0,-0.6130296730333229,0.0,-1.8460936647297879,0.0,-1.8019690464166276
1,0,11,780,0.0,-0.6915826490188656,0.0,-0.6924846301530487,0.0,-1.115236582615046,0.0,-1.7017860453855778
1,0,11,800,0.0,-0.7107079214138248,0.0,-0.6952325597005693,0.0,-0.3853695852755683,0.0,-1.152736502556003
1,0,11,820,0.0,-0.6245547784048351,0.0,-0.5177141270431078,0.0,0.45913633541161625,0.0,-0.5180046469179955
1,0,11,840,0.0,-0.5728833669231158,0.0,-0.2900890309908137,0.0,1.5542430933854443,0.0,0.435647487853331
1,0,11,860,0.0,-0.38690861161018086,0.0,-0.16604390934634497,0.0,1.9767647752935011,0.0,1.0441979992702328
1,0,11,880,0.0,-0.19394972092524454,0.0,0.05977755025059154,0.0,2.403347310726055,0.0,1.5931805205669203
1,0,11,900,0.0,0.08627996730253673,0.0,0.2749296919165901,0.0,2.623739549563899,0.0,2.1458606952181
1,0,11,920,0.0,0.2997365864536465,0.0,0.4781947967777094,0.0,2.586403281309661,0.0,2.238236099655008
1,0,11,940,0.0,0.4008316869793749,0.0,0.605547495845624,0.0,2.4313718136149993,0.0,2.2473935748395415
1,0,11,960,0.0,0.5927598772573249,0.0,0.7091450499221379,0.0,1.9965611099932907,0.0,1.924740893168873
1,0,11,980,0.0,0.6470654239521922,0.0,0.6788176300843803,0.0,1.3635404938714892,0.0,1.632039826390731
1,0,11,1000,0.0,0.6863826131793404,0.0,0.609770552645506,0.0,0.4898162476205421,0.0,0.940587269265469
1,0,11,1020,0.0,0.69440477767537,0.0,0.5530997001478382,0.0,-0.4532165816953765,0.0,0.4670720326628465
1,0,11,1040,0.0,0.5084169771389367,0.0,0.3313459475805747,0.0,-1.2309239320947076,0.0,-0.13939547890435988
1,0,11,1060,0.0,0.43914045669867896,0.0,0.133980482526521,0.0,-2.054918327605656,0.0,-1.000564881224682
1,0,11,1080,0.0,0.20331611609263028,0.0,-0.12244529593335958,0.0,-2.703136263775531,0.0,-1.5612692402093766
1,0,11,1100,0.0,-0.05487327576027086,0.0,-0.3315433433959334,0.0,-2.8557697836584155,0.0,-1.9559389950326804
1,0,11,1120,0.0,-0.2736567140866542,0.0,-0.535588687395143,0.0,-2.4779001322902583,0.0,-2.174326090187527
1,0,11,1140,0.0,-0.48556476226356515,0.0,-0.5532275391859012,0.0,-2.3739197566265475,0.0,-2.1968567976436306
1,0,11,1160,0.0,-0.5765977144883345,0.0,-0.6255383633596763,0.0,-1.613992615645321,0.0,-2.097604758734538
1,0,11,1180,0.0,-0.6736762623185557,0.0,-0.6745959470674142,0.0,-0.9507513821755325,0.0,-1.4171902455237095
1,0,11,1200,0.0,-0.6941048114298711,0.0,-0.5961392725242805,0.0,-0.42727143793186767,0.0,-1.097389568076257
1,0,11,1220,0.0,-0.6266912936099394,0.0,-0.48358274894741204,0.0,0.4728263104520016,0.0,-0.6176289413517733
1,0,11,1240,0.0,-0.5454848093921871,0.0,-0.3068314268727876,0.0,1.3533560881570048,0.0,0.1586545768399838
1,0,11,1260,0.0,-0.3979658512495543,0.0,-0.17814273371869488,0.0,1.9617322763373957,0.0,0.831398271685577
1,0,11,1280,0.0,-0.20607243226833838,0.0,0.07683118186552433,0.0,2.221513324930658,0.0,1.6406260016202383
1,0,11,1300,0.0,0.10095859193159247,0.0,0.31145395119763514,0.0,2.5639843279363226,0.0,2.0529478872979148
1,0,11,1320,0.0,0.2525673542162117,0.0,0.47698672649272206,0.0,2.7536164587057432,0.0,2.0261778127119756
1,0,11,1340,0.0,0.4432315249292419,0.0,0.5417637025607964,0.0,2.2271610930624037,0.0,1.9560066369986318
1,0,11,1360,0.0,0.5794112266158287,0.0,0.6634489818428333,0.0,1.8292640150583432,0.0,1.9079438372609283
1,0,11,1380,0.0,0.7151092289500862,0.0,0.6990756222204395,0.0,1.1327697767758076,0.0,1.7334624179936664
1,0,11,1400,0.0,0.664671078350437,0.0,0.5860779649664069,0.0,0.23452685266478907,0.0,1.0396022928805735
1,0,11,1420,0.0,0.6093800995512803,0.0,0.3765613716608355,0.0,-0.7433768562015683,0.0,0.29913028200438274
1,0,11,1440,0.0,0.5039306497548077,0.0,0.3632501243933183,0.0,-1.2750089136660439,0.0,-0.06832733677955227
1,0,11,1460,0.0,0.3459199678480059,0.0,0.12434614233662888,0.0,-1.9415702246068811,0.0,-0.6826863039338903
1,0,11,1480,0.0,0.15459740260434288,0.0,-0.05260816007561269,0.0,-2.39497704281725,0.0,-1.4523821434228834
1,0,11,1500,0.0,-0.15367375763057756,0.0,-0.3835422378967669,0.0,-2.5903113020046473,0.0,-2.0796028055726437
1,0,11,1520,0.0,-0.2597856331283672,0.0,-0.5565201058625562,0.0,-2.5411220415542886,0.0,-2.014036478891796
1,0,11,1540,0.0,-0.45539482099653134,0.0,-0.6423611703166743,0.0,-2.224093642448727,0.0,-2.164576250678647
1,0,11,1560,0.0,-0.5595561541529284,0.0,-0.6797858060431163,0.0,-1.5664127487044621,0.0,-1.870915850901279
1,0,11,1580,0.0,-0.6247668467216145,0.0,-0.6929070169091519,0.0,-0.6005849317783835,0.0,-1.4088277948244836
1,0,11,1600,0.0,-0.6735984465179712,0.0,-0.5312922451719467,0.0,0.18598109735686186,0.0,-0.6438534547260396
1,0,11,1620,0.0,-0.6192892066022612,0.0,-0.4637385937761953,0.0,0.47437878151305013,0.0,-0.28902235616578054
1,0,11,1640,0.0,-0.4513444096075368,0.0,-0.2128102863281325,0.0,1.365664184715466,0.0,0.5633328098168952
1,0,11,1660,0.0,-0.351088689922686,0.0,-0.07294015477949167,0.0,1.8151638794216476,0.0,1.0721448204793516
1,0,11,1680,0.0,-0.15454193845993752,0.0,0.146757792265795,0.0,2.426353583853164,0.0,1.6055946185289631
1,0,11,1700,0.0,0.11729762732272142,0.0,0.3191901833901348,0.0,2.544308089501655,0.0,2.039177732568194
1,0,11,1720,0.0,0.37361396913584194,0.0,0.576017966533046,0.0,2.4461672421647167,0.0,2.4266375458876914
1,0,11,1740,0.0,0.5414233579668244,0.0,0.6857894804400397,0.0,2.377581672106151,0.0,2.327121453700343
1,0,11,1760,0.0,0.6073412084103753,0.0,0.6486474666462223,0.0,1.4023420176397479,0.0,1.8863124326178147
1,0,11,1780,0.0,0.690144382025048,0.0,0.638075095276167,0.0,0.9754835057840239,0.0,1.2210642854290126
1,0,11,1800,0.0,0.703198242298974,0.0,0.5850992600356444,0.0,0.0874535936485098,0.0,0.7554049281304346
1,0,11,1820,0.0,0.7014263487975723,0.0,0.49292185260957444,0.0,-0.5924277753765191,0.0,0.32667445231345416
1,0,11,1840,0.0,0.5014585529904028,0.0,0.295853056838847,0.0,-1.356186009024828,0.0,-0.45025165402619427
1,0,11,1860,0.0,0.31274738716623585,0.0,0.08870947208253258,0.0,-2.020778514445947,0.0,-0.9352630627737005
1,0,11,1880,0.0,0.1324275103722092,0.0,-0.1336611512361744,0.0,-2.23906746756741,0.0,-1.4361405055467942
1,0,11,1900,0.0,-0.1106714388105907,0.0,-0.33967932469572043,0.0,-2.5778829586109975,0.0,-1.9769895601750105
1,0,11,1920,0.0,-0.347040818041902,0.0,-0.5186208470609657,0.0,-2.255430330597291,0.0,-2.3326547639094737
1,0,11,1940,0.0,-0.5467334845484921,0.0,-0.6461366874074324,0.0,-2.1934790482617204,0.0,-2.127466888358027
1,0,11,1960,0.0,-0.6837954515596563,0.0,-0.7124139066810077,0.0,-1.6154243621727318,0.0,-1.6087227081489721
1,0,11,1980,0.0,-0.7161683563484038,0.0,-0.7245028134155052,0.0,-0.8770096548460768,0.0,-1.4175922265153793
1,0,15,0,-2.258449416070769,-0.6133030697455403,2.356121865785514,-0.5502713098244761,3.2885679923836655,0.004384965282203987,-2.002258175656297,-0.8837507115461694
1,0,15,20,-2.258449416070769,-0.43943088821078374,2.356121865785514,-0.2946380669531422,3.2885679923836655,0.82681731120936,-2.002258175656297,-0.20953162127036687
1,0,15,40,-2.258449416070769,-0.16149133040585797,2.356121865785514,-0.06811993988549786,3.2885679923836655,1.3943622136703473,-2.002258175656297,0.5732624364409813
1,0,15,60,-2.258449416070769,0.07255378313022112,2.356121865785514,0.2201674168068975,3.2885679923836655,1.266728969665614,-2.002258175656297,1.0006791837595652
1,0,15,80,-2.258449416070769,0.2823493496678808,2.356121865785514,0.30997997595744,3.2885679923836655,1.1591449801641767,-2.002258175656297,1.2137823786159587
1,0,15,100,-2.258449416070769,0.43662339519765364,2.356121865785514,0.5325672204207081,3.2885679923836655,1.1541436057155006,-2.002258175656297,1.3370318801208765
1,0,15,120,-2.258449416070769,0.5733176380639515,2.356121865785514,0.5414380856563596,3.2885679923836655,0.9331376323520881,-2.002258175656297,1.2854731635765275
1,0,15,140,-2.258449416070769,0.5432175306452691,2.356121865785514,0.5535026452352112,3.2885679923836655,0.5757968475576811,-2.002258175656297,1.1159972820041908
1,0,15,160,-2.258449416070769,0.674131928717246,2.356121865785514,0.5923299465263765,3.2885679923836655,0.24091184531686372,-2.002258175656297,1.183420172618339
1,0,15,180,-2.258449416070769,0.6856785585932352,2.356121865785514,0.5986692031469489,3.2885679923836655,0.3020816888872551,-2.002258175656297,1.0484733012264165
1,0,15,200,0.0,0.6892898591293448,0.0,0.6554546995705958,0.0,0.1999086802477799,0.0,0.7508052996104893
1,0,15,220,0.0,0.6128347259495495,0.0,0.4402867775907311,0.0,-0.4269488171679785,0.0,0.4579029792182786
1,0,15,240,0.0,0.5658049260988344,0.0,0.321205776880925,0.0,-1.170638631763318,0.0,-0.15870755319504704
1,0,15,260,0.0,0.3550649678074269,0.0,0.11498130341095283,0.0,-1.9837838057051895,0.0,-0.7506718073871351
1,0,15,280,0.0,0.21759964759951242,0.0,-0.04959783316385931,0.0,-2.2046955969815727,0.0,-1.465117140240058
1,0,15,300,0.0,-0.02869495260018999,0.0,-0.33553252717786647,0.0,-2.585423490895195,0.0,-1.9125839029698561
1,0,15,320,0.0,-0.18450555151189,0.0,-0.46089850540684396,0.0,-2.4011526091285083,0.0,-2.1064869672555924
1,0,15,340,0.0,-0.43825418147982903,0.0,-0.5797462525240229,0.0,-1.8094761804697848,0.0,-2.0941641310484025
1,0,15,360,0.0,-0.5631235023676964,0.0,-0.5921979570921723,0.0,-1.4784238879581388,0.0,-1.573305257785373
1,0,15,380,0.0,-0.6385978979436152,0.0,-0.6337180024713117,0.0,-1.0944787741394215,0.0,-1.2144407707212093
1,0,15,400,0.0,-0.7130906962897162,0.0,-0.5257883203581688,0.0,-0.24162940560111634,0.0,-0.9679729207352682
