pqif,seed,iloop,it,II_0,v_0,II_1,v_1,II_N2+1,v_N2+1,II_N2+2,v_N2+2
0.5,0,11,0,-2.258449416070769,-0.7199979115991889,2.356121865785514,-0.6577081266992162,3.2885679923836655,-0.18688646396073516,-2.002258175656297,-1.2716033851535984
0.5,0,11,20,-2.258449416070769,-0.11725596653664616,2.356121865785514,-0.15278948513128304,3.2885679923836655,0.28665900002198574,-2.002258175656297,0.23760154097117664
0.5,0,11,40,-2.258449416070769,0.30211254024855005,2.356121865785514,0.31051771913890513,3.2885679923836655,0.16429591765247956,-2.002258175656297,1.3327251260925008
0.5,0,11,60,-2.258449416070769,0.6163339927002948,2.356121865785514,0.5536575972816925,3.2885679923836655,0.15518186599173067,-2.002258175656297,1.289544394864174
0.5,0,11,80,-2.258449416070769,0.7027253175234944,2.356121865785514,0.6334903977993219,3.2885679923836655,0.0993003939445588,-2.002258175656297,1.285088762654436
0.5,0,11,100,-2.258449416070769,0.7668186508342913,2.356121865785514,0.6654960685940599,3.2885679923836655,-0.17059191375416444,-2.002258175656297,1.162524585096821
0.5,0,11,120,-2.258449416070769,0.7816297558703125,2.356121865785514,0.6540276489666199,3.2885679923836655,-0.13374311563656333,-2.002258175656297,1.20013600693662
0.5,0,11,140,-2.258449416070769,0.7830762403555449,2.356121865785514,0.6874083946836149,3.2885679923836655,0.2580732931830033,-2.002258175656297,1.4841426079510283
0.5,0,11,160,-2.258449416070769,0.7527823223658371,2.356121865785514,0.6605640226787814,3.2885679923836655,0.08046609062035162,-2.002258175656297,1.3030170614509493
0.5,0,11,180,-2.258449416070769,0.796283934800268,2.356121865785514,0.6868066769429254,3.2885679923836655,0.13487078923583193,-2.002258175656297,1.5195379725863005
0.5,0,11,200,0.0,0.7779474248332517,0.0,0.6616307342775343,0.0,-0.19365801432667895,0.0,1.1625650980163238
0.5,0,11,220,0.0,0.5761349181765355,0.0,0.49818395628934165,0.0,-0.3277974544263741,0.0,0.5162103881683487
0.5,0,11,240,0.0,0.49621879761954163,0.0,0.3607747196020582,0.0,-0.6510821899818506,0.0,-0.08698395840172088
0.5,0,11,260,0.0,0.3255974997066174,0.0,0.141136094456182,0.0,-1.6252159237512116,0.0,-0.8066846809710599
0.5,0,11,280,0.0,0.1957263608334422,0.0,0.00016986019032549232,0.0,-1.882635174062166,0.0,-1.249358063111194
0.5,0,11,300,0.0,0.04913871469169066,0.0,-0.2525998940263207,0.0,-2.0062891278102533,0.0,-1.558283065942129
0.5,0,11,320,0.0,-0.23741085795997965,0.0,-0.4739582719695452,0.0,-2.3828536478096907,0.0,-2.2347006275317964
0.5,0,11,340,0.0,-0.47188140854035077,0.0,-0.5944087344402513,0.0,-2.2304388433414064,0.0,-2.29205795770054
