pqif,seed,nloop,cc_lif,cc_qif,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
0,0,0,0.008877646677397348,0.006955412178645311,0.007916529428021329,0.2464349196608953,-0.0016804342639088069,-0.001071001195492471,-0.010101010101010102,3.3948166947652176e-05
0,0,0,0.00044204745520409706,0.0002781607413013587,0.00036010409825272706,0.2464349196608953,-0.0016804342639088069,-0.001071001195492471,-0.010101010101010102,3.3948166947652176e-05
0,0,1,0.7842935926437137,0.6971748034632472,0.7407341980534805,0.23709898058440085,0.35384097619733995,-0.00025557071967477935,-0.005982216412264678,-0.009272660472626768
0,0,2,0.7804330818901256,0.6999528631809417,0.7401929725355336,0.30939551043240876,0.2776412018976831,-0.001146737911989371,-0.004876637185642841,-0.008672797731740163
0,0,3,0.7736883527422522,0.7023046110476823,0.7379964818949672,0.4539107505045071,0.1887677884418704,0.003156382406167322,-0.008714739633939716,-0.00343612497248892
0,0,4,0.7607748242275909,0.6800478521471274,0.7204113381873593,0.6360796100075078,0.13507086790938044,0.0015586949319775377,-0.009012686834326676,-0.001449817061766285
0,0,5,0.7648500329773438,0.6851297161723519,0.7249898745748478,0.6557495665661166,0.13495123156728775,0.0006225195880540532,-0.009298735656755507,-0.0033954309108964707
0,0,6,0.7698351734707513,0.7005625104543073,0.735198841962529,0.6302222966352435,0.14502831455950724,0.0008136521860911732,-0.009102622602959985,-0.004368531020941069
0,0,7,0.7641392289582122,0.6947395698165326,0.7294393993873723,0.5743797650966,0.15456597662828198,0.0006958319342733919,-0.008372505640789103,-0.005439820833713649
0,0,8,0.7811992099952412,0.703661302642558,0.7424302563188993,0.5145022005733842,0.17186001603030618,0.0002904224929946354,-0.009359061868521704,-0.0048974701883938146
0,0,9,0.7641917534934811,0.683931124650992,0.7240614390722365,0.49412379478900953,0.1831920347367032,0.00031970169004423424,-0.009770211088260096,-0.004705931622931568
0,0,10,0.760626914567883,0.6873073898712011,0.723967152219542,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0,0,11,0.7787710989686272,0.7019319096191233,0.7403515042938754,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0,0,12,0.7618430314559441,0.6812397395607697,0.7215413855083567,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0,0,13,0.4437355744329843,0.36294990076871186,0.4033427376008482,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0,0,14,0.7394845552142553,0.6621222356080088,0.7008033954111322,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0,0,15,0.7020334794164043,0.6281242081280866,0.6650788437722455,0.4612178901006834,0.1963546603424622,-0.00021577022098683075,-0.009984443643292042,-0.004581134593372091
0.5,0,0,0.01486582058479332,-0.024208310569751684,-0.004671244992479185,0.2464349196608953,-0.0016804342639088069,-0.001071001195492471,-0.010101010101010102,3.3948166947652176e-05
